title,company,location,url,posted_date,job_type,eligibility,skills,source_id
SRCAS Hackathon 3.0 - What's the next big idea?,Sri Ramakrishna College of Arts & Science (SRCAS),Online,https://unstop.com/hackathons/srcas-hackathon-30-whats-the-next-big-idea-sri-ramakrishna-college-of-arts-science-srcas-1700643,,Open,,"Quizzes & Treasure Hunt, IT Operations, Undergraduate, Postgraduate",srcas-hackathon-30-whats-the-next-big-idea-sri-ramakrishna-college-of-arts-science-srcas-1700643
AI Hackathon.,Algo University,Online,https://unstop.com/hackathons/ai-hackathon-algo-university-1699892,,Online,,"Software Development, Web Development, Machine Learning Engineering, Others",ai-hackathon-algo-university-1699892
Ignisys,UEM KOLKATA,Online,https://unstop.com/hackathons/ignisys-uem-kolkata-1699798,,Open,,"Others, Undergraduate, Postgraduate, Engineering Students",ignisys-uem-kolkata-1699798
Hack[AI]thon 2.0,"Sphere Hive, KVG college of engineering sullia",Online,https://unstop.com/hackathons/hackaithon-20-sphere-hive-kvg-college-of-engineering-sullia-1699309,,Open,,"Data Analysis, Software Development, Undergraduate, Engineering Students",hackaithon-20-sphere-hive-kvg-college-of-engineering-sullia-1699309
Null Origin - 24 Hour CTF Challenge,Cyber HX,Online,https://unstop.com/hackathons/null-origin-24-hour-ctf-challenge-cyber-hx-1698744,,Online,,Quizzes & Treasure Hunt,null-origin-24-hour-ctf-challenge-cyber-hx-1698744
Build With Bharat,Codeverse,Online,https://unstop.com/hackathons/build-with-bharat-codeverse-1696915,,Open,,"Software Development, Undergraduate, Postgraduate, Engineering Students",build-with-bharat-codeverse-1696915
HackNexus'26,Droidecks,Online,https://unstop.com/hackathons/hacknexus26-droidecks-1695049,,Online,,"Software Development, Undergraduate, Postgraduate, Engineering Students",hacknexus26-droidecks-1695049
Tech Eximius 2026,Tech Circle,Online,https://unstop.com/hackathons/tech-eximius-2026-tech-circle-1690635,,Online,,Software Development,tech-eximius-2026-tech-circle-1690635
InnovaHack Chapter 1,Elite Forums,Online,https://unstop.com/hackathons/innovahack-chapter-1-elite-forums-1684671,,Online,,"Others, Everyone can apply",innovahack-chapter-1-elite-forums-1684671
Tech Horizon 2.0 - National Level Hackathon,"Guru Nanak Institutions Technical Campus (GNITC), Hyderabad",Online,https://unstop.com/hackathons/tech-horizon-20-national-level-hackathon-guru-nanak-institutions-technical-campus-gnitc-hyderabad-1677311,,Open,,"Software Development, Everyone can apply",tech-horizon-20-national-level-hackathon-guru-nanak-institutions-technical-campus-gnitc-hyderabad-1677311
CODEFUSION 2k26,Echelon Institute Of Technology Faridabad,Online,https://unstop.com/hackathons/codefusion-2k26-echelon-institute-of-technology-faridabad-1678346,,Open,,"AI Research, Software Development, Undergraduate, Postgraduate",codefusion-2k26-echelon-institute-of-technology-faridabad-1678346
“National Cloud & AI Innovation Challenge Season 2 by 3SVK – 3K+ Developers”,"Jawaharlal Nehru Technological University (JNTUH), Hyderabad",Online,https://unstop.com/hackathons/cloud-innovation-challenge-jawaharlal-nehru-technological-university-jntuh-hyderabad-1652247,,Online,,Cloud Engineering,cloud-innovation-challenge-jawaharlal-nehru-technological-university-jntuh-hyderabad-1652247
Clash of Coders 3.0,"Jaipur Engineering College And Research Center (JECRC), Jaipur",Online,https://unstop.com/hackathons/clash-of-coders-hackathon-26-jaipur-engineering-college-and-research-center-jecrc-jaipur-1638287,,Open,,"Others, Hackathon, Applied AI, Undergraduate",clash-of-coders-hackathon-26-jaipur-engineering-college-and-research-center-jecrc-jaipur-1638287
Inceptia Hackathon,"Pimpri Chinchwad College Of Engineering & Research (PCCOE &R), Pimpri-Chinchwad, Pune",Online,https://unstop.com/hackathons/inceptia-hackathon-pimpri-chinchwad-college-of-engineering-research-pccoe-r-pimpri-chinchwad-pune-1479480,,Open,,"Machine Learning Engineering, Engineering Students, Undergraduate, Postgraduate",inceptia-hackathon-pimpri-chinchwad-college-of-engineering-research-pccoe-r-pimpri-chinchwad-pune-1479480
